BENCH,FAR,FAIL-JOB,ExpName,FailedJobDuration,,,,
BFS,TRUE,1,BFS_true_1_14g,40.8690002,,,,
BFS,TRUE,2,BFS_true_2_14g,28.12399983,,,,
BFS,TRUE,3,BFS_true_3_14g,39.28900003,,,,
BFS,TRUE,4,BFS_true_4_14g,42.77200007,,,,
BFS,TRUE,5,BFS_true_5_14g,47.4599998,,,,
BFS,TRUE,6,BFS_true_6_14g,45.64100003,,,,
BFS,TRUE,7,BFS_true_7_14g,30.68000007,,,,
BFS,TRUE,8,BFS_true_8_14g,34.16400003,,,,
BFS,TRUE,9,BFS_true_9_14g,33.11499977,,,,
BFS,TRUE,10,BFS_true_10_14g,51.8039999,,,,
BFS,TRUE,11,BFS_true_11_14g,45.14100003,,,,
BFS,TRUE,12,BFS_true_12_14g,53.19400001,,,,
BFS,TRUE,13,BFS_true_13_14g,55.97600007,,,,
BFS,TRUE,14,BFS_true_14_14g,52.15699983,,,,
BFS,TRUE,15,BFS_true_15_14g,57.53200006,,,,
BFS,TRUE,16,BFS_true_16_14g,62.55000019,,,,
BFS,TRUE,17,BFS_true_17_14g,61.84200001,,,,
BFS,TRUE,18,BFS_true_18_14g,54.35000014,,,,
BFS,TRUE,19,BFS_true_19_14g,70.75699997,,,,
BFS,TRUE,20,BFS_true_20_14g,75.51300001,,,,
BFS,FALSE,1,BFS_false_1_14g,40.546,,,,
BFS,FALSE,2,BFS_false_2_14g,26.95499992,,,,
BFS,FALSE,3,BFS_false_3_14g,30.6500001,,,,
BFS,FALSE,4,BFS_false_4_14g,25.37700009,,,,
BFS,FALSE,5,BFS_false_5_14g,47.64199996,,,,
BFS,FALSE,6,BFS_false_6_14g,47.14100003,,,,
BFS,FALSE,7,BFS_false_7_14g,48.64599991,,,,
BFS,FALSE,8,BFS_false_8_14g,81.86999989,,,,
BFS,FALSE,9,BFS_false_9_14g,102.599,,,,
BFS,FALSE,10,BFS_false_10_14g,169.632,,,,
BFS,FALSE,11,BFS_false_11_14g,297.5190001,,,,
BFS,FALSE,12,BFS_false_12_14g,507.198,,,,
BFS,FALSE,13,BFS_false_13_14g,941.0899999,,,,
BFS,FALSE,14,BFS_false_14_14g,2200.444,,,,
BFS,FALSE,15,BFS_false_15_14g,TIMEOUT,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
