BENCH,FAR,FAIL-JOB,ExpName,FailedJobDuration
CC,TRUE,1,CC_true_1_14g,39.14100003
CC,TRUE,2,CC_true_2_14g,40.35599995
CC,TRUE,3,CC_true_3_14g,41.39100003
CC,TRUE,4,CC_true_4_14g,28.704
CC,TRUE,5,CC_true_5_14g,34.86300015
CC,TRUE,6,CC_true_6_14g,38.148
CC,TRUE,7,CC_true_7_14g,43.84099984
CC,TRUE,8,CC_true_8_14g,28.35899997
CC,TRUE,9,CC_true_9_14g,40.92299986
CC,TRUE,10,CC_true_10_14g,32.82599998
CC,TRUE,11,CC_true_11_14g,28.92199993
CC,TRUE,12,CC_true_12_14g,31.26800013
CC,TRUE,13,CC_true_13_14g,35.77600002
CC,TRUE,14,CC_true_14_14g,49.68400002
CC,TRUE,15,CC_true_15_14g,46.40200019
CC,TRUE,16,CC_true_16_14g,54.36599994
CC,TRUE,17,CC_true_17_14g,37.79399991
CC,TRUE,18,CC_true_18_14g,36.54900002
CC,TRUE,19,CC_true_19_14g,38.37599993
CC,TRUE,20,CC_true_20_14g,43.87300014
CC,FALSE,1,CC_false_1_14g,37.72099996
CC,FALSE,2,CC_false_2_14g,27.579
CC,FALSE,3,CC_false_3_14g,38.56900001
CC,FALSE,4,CC_false_4_14g,39.46300006
CC,FALSE,5,CC_false_5_14g,28.05299997
CC,FALSE,6,CC_false_6_14g,48.76100016
CC,FALSE,7,CC_false_7_14g,127.207
CC,FALSE,8,CC_false_8_14g,85.81500006
CC,FALSE,9,CC_false_9_14g,112.846
CC,FALSE,10,CC_false_10_14g,165.9660001
CC,FALSE,11,CC_false_11_14g,263.6110001
CC,FALSE,12,CC_false_12_14g,583.026
CC,FALSE,13,CC_false_13_14g,1163.455
CC,FALSE,14,CC_false_14_14g,1876.489
CC,FALSE,15,CC_false_15_14g,TIMEOUT
