BENCH,FAR,FAIL-JOB,ExpName,FailedJobDuration
SP,TRUE,1,SP_true_1_14g,43.09200001
SP,TRUE,2,SP_true_2_14g,36.96099997
SP,TRUE,3,SP_true_3_14g,22.51100016
SP,TRUE,4,SP_true_4_14g,30.70299983
SP,TRUE,5,SP_true_5_14g,26.37000012
SP,TRUE,6,SP_true_6_14g,24.23500013
SP,TRUE,7,SP_true_7_14g,27.09200001
SP,TRUE,8,SP_true_8_14g,43.36999989
SP,TRUE,9,SP_true_9_14g,30.8349998
SP,TRUE,10,SP_true_10_14g,36.97000003
SP,TRUE,11,SP_true_11_14g,37.35500002
SP,TRUE,12,SP_true_12_14g,43.90400004
SP,TRUE,13,SP_true_13_14g,34.61199999
SP,TRUE,14,SP_true_14_14g,30.56400013
SP,TRUE,15,SP_true_15_14g,37.41599989
SP,TRUE,16,SP_true_16_14g,51.19300008
SP,TRUE,17,SP_true_17_14g,50.89199996
SP,TRUE,18,SP_true_18_14g,40.38499999
SP,TRUE,19,SP_true_19_14g,39.8210001
SP,TRUE,20,SP_true_20_14g,41.46200013
SP,FALSE,1,SP_false_1_14g,45.11100006
SP,FALSE,2,SP_false_2_14g,46.36400008
SP,FALSE,3,SP_false_3_14g,20.67700005
SP,FALSE,4,SP_false_4_14g,26.33200002
SP,FALSE,5,SP_false_5_14g,24.01300001
SP,FALSE,6,SP_false_6_14g,31.71799994
SP,FALSE,7,SP_false_7_14g,36.30500007
SP,FALSE,8,SP_false_8_14g,39.54500008
SP,FALSE,9,SP_false_9_14g,69.54399991
SP,FALSE,10,SP_false_10_14g,91.74599981
SP,FALSE,11,SP_false_11_14g,131.2680001
SP,FALSE,12,SP_false_12_14g,236.816
SP,FALSE,13,SP_false_13_14g,485.7680001
SP,FALSE,14,SP_false_14_14g,860.7609999
SP,FALSE,15,SP_false_15_14g,1293.902
SP,FALSE,16,SP_false_16_14g,3215.025
SP,FALSE,17,SP_false_17_14g,TIMEOUT
