,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,AVG,STD,Overhead
PR,FALSE,188.02,195.24,201.37,194.83,195.07,200.22,199.32,194.23,193.95,191.22,191.099,192.543,200.699,198.619,203.923,195.942,193.301,202.653,193.259,197.613,,196.2,4.3,
,TRUE,184.46,194.38,198.45,199.58,194.68,191.99,195.24,200.10,195.88,193.71,205.235,201.738,198.364,195.698,202.077,199.068,194.604,205.523,198.734,199.637,,197.5,4.8, 1.0066 
CC,FALSE,174.792,186.816,174.881,184.338,193.771,181.171,178.225,182.712,181.822,187.6,184.172,177.964,183.027,190.485,182.114,188.652,176.336,179.958,179.191,189.568,,182.9,5.3,
,TRUE,181.34,182.81,178.11,177.61,183.74,182.59,174.29,182.62,185.53,178.64,186.393,181.662,184.88,184.178,183.334,179.924,190.52,182.266,183.187,177.334,,182.0,3.7, 0.9954 
SP,FALSE,155.26,166.60,168.81,162.87,158.50,164.83,167.70,166.23,158.35,163.86,164.862,159.525,168.116,170.884,161.738,169.228,168.272,169.473,161.507,167.336,,164.7,4.4,
,TRUE,169.57,164.77,163.50,167.89,169.80,166.53,172.56,166.07,160.41,165.32,175.16,168.679,166.586,165.129,168.621,164.83,170.14,161.4,166.478,166.233,,167.0,3.5, 1.0139 
SVD,FALSE,306.74,364.26,341.44,344.28,339.01,360.99,368.72,325.33,299.19,344.99,309.202,368.415,303.663,308.564,346.533,327.154,332.819,302.019,338.743,341.987,,333.7,22.8,
,TRUE,302.06,351.04,317.51,295.54,293.37,296.90,327.45,342.42,299.76,344.33,320.027,313.677,312.508,292.227,329.816,344.906,311.742,372.363,306.948,365.404,,322.0,24.3, 0.9649 
GMM,FALSE,451.318,445.453,456.454,455.219,451.487,461.571,464.943,460.692,452.66,444.857,457.7,463.623,466.678,443.335,436.426,443.27,464.688,434.169,423.304,452.645,,451.5,11.6,
,TRUE,444.196,469.428,461.177,469.512,429.442,438.866,424.44,435.937,454.245,441.001,436.607,474.961,451.897,455.156,457.435,448.771,427.656,471.068,437.942,459.975,,449.5,15.4, 0.9955 
BFS,FALSE,243.286,266.653,251.869,258.994,264.879,257.77,256.508,250.543,255.072,260.075,252.134,248.855,249.007,246.631,248.411,250.577,249.54,254.339,250.609,243.613,,253.0,6.3,
,TRUE,247.986,241.524,252.629,243.27,252.087,237.84,255.162,253.532,256.272,252.784,253.348,254.349,263.719,255.618,257.419,266.566,254.261,256.214,250.601,255.686,,253.0,6.7, 1.0003 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
